CODLOCAL,Prediccion
024973,1.944959448771029
020606,1.7836191814537052
040015,1.7001098326187964
015445,2.1149356249373596
023916,1.0116166484459868
018316,1.513373618680462
019698,1.2564853579771205
023515,1.340315540504629
033091,2.247078521369303
025958,1.8381614515919962
019392,1.4481373922195697
025312,0.9829238348404639
015884,1.1386440177974526
017128,1.588841353257106
025294,2.2543177746249192
020362,1.597717213044303
025680,1.472381566442985
041920,1.4471533661659288
024572,1.9045046763198226
030479,1.2467266927311167
018726,1.487780856044953
030714,0.9957242668153656
041963,1.3859413577035058
018670,1.092948123582835
029635,1.37203334602291
025703,1.3873068708269676
040044,1.1446888799325745
018199,1.5159200428715123
019467,1.2288159691003182
021984,1.5028650645091384
015676,2.3288777955240736
041152,1.6406168551460385
018774,1.1586295995956872
025703,1.1741994291287432
033543,1.778223255134525
022196,1.553345583811279
022224,1.802426107725943
023105,1.4769248980910366
023285,1.141815997611253
015365,1.5418860691385516
016280,1.6454512916942947
022771,1.6829094925444676
029923,2.0392544955881196
018222,1.7721349252560112
025393,1.6023351415068043
027226,1.7677291563743855
028476,1.674874732252391
017618,1.8127840055263098
019207,1.4469256108814519
022262,1.7409193524793638
018547,1.785960140507051
028886,1.2187068083682373
029602,1.603799392490838
024483,1.7002476954700823
023110,2.992820798423108
023855,2.2536560607012768
018608,1.5699857682254612
021535,1.813787701882905
018731,1.1879900332443252
020512,1.8753388120946237
020300,1.3902087012675002
031129,1.7867200688204632
018651,1.8463048448518364
029857,1.5029376422879683
024336,2.0906949126081247
020994,1.4558398106929487
025345,1.6132378823568112
038847,2.2836701166881
016845,1.7781115764739472
027523,0.9989842746511371
022530,1.8153947425622319
037598,1.7941154159148822
021620,1.1211756570933504
016275,1.3536212171384812
038084,1.4185708057480597
015346,1.505659688600112
039192,1.5326163485794642
033717,2.0738033514613154
016256,1.933869902795046
027561,1.0079149229032058
028122,1.2790422664639072
017642,1.26441316971817
024355,1.6593519757918156
027387,1.0964641851466437
028117,1.387050203967685
021045,1.3617975184718878
021446,1.303068433765814
041604,1.4392778065397447
016223,1.8270051277533654
040195,1.206119069442888
024261,2.2487819592586
023394,1.331278084191724
017294,1.2083444314414808
027306,1.3562983740060213
019919,2.18243973822564
022686,1.63334321240792
039521,1.421583657489375
020908,1.9719351821713933
026608,1.608161203210774
016510,1.224000943710171
033345,1.538509371596244
017430,1.1975357832134113
023092,1.462524633613251
032992,1.668112976365197
